acao,link_processo,relator,ramo_do_direito,assunto_relacionado,dt_autuacao,dt_transito,classe,numero,leg_governador
ADI 48,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1488122,MIN. MAURÍCIO CORRÊA,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO | VENCIMENTOS | TETO - RESOLUÇÃO 2.154/89 - RS,1989-05-11T00:00:00Z,2002-11-04T00:00:00Z,ADI ,48,Pedro Simon
ADI 179,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1493604,MIN. DIAS TOFFOLI,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO,1990-01-11T00:00:00Z,2014-04-08T16:41:48Z,ADI ,179,Pedro Simon
ADI 180,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1493584,MIN. NELSON JOBIM,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO | ESTABILIDADE PROVISÓRIA | EFETIVAÇÃO SEM CONCURSO PÚBLICO - CE/RS ADCT ART. 5º,1990-01-11T00:00:00Z,2003-08-13T00:00:00Z,ADI ,180,Pedro Simon
ADI 181,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1493583,MIN. SEPÚLVEDA PERTENCE,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL,1990-01-11T00:00:00Z,NA,ADI ,181,Pedro Simon
ADI 191,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1493745,MIN. CÁRMEN LÚCIA,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO | VENCIMENTOS | EQUIPARAÇÃO,1990-01-18T00:00:00Z,2008-03-18T14:22:04Z,ADI ,191,Pedro Simon
ADI 192,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1493748,MIN. MOREIRA ALVES,ASSUNTO PARA PROCESSO ANTIGO,ASSUNTO PARA PROCESSO ANTIGO |   | PROCESSO ANTIGO,1990-01-18T00:00:00Z,2001-09-19T00:00:00Z,ADI ,192,Pedro Simon
ADI 303,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1501056,MIN. GILMAR MENDES,SERVIDOR PÚBLICO,"SERVIDOR PÚBLICO | VENCIMENTOS | REAJUSTE - LEIS 9.061, 9.062 ,9.063 E 9.064 DE 1990/RS",1990-06-11T00:00:00Z,2003-02-28T00:00:00Z,ADI ,303,Sinval Guazzelli
ADI 409,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1510391,MIN. SEPÚLVEDA PERTENCE,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO,1990-11-29T00:00:00Z,2002-05-08T00:00:00Z,ADI ,409,Sinval Guazzelli
ADI 546,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1522102,MIN. MOREIRA ALVES,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ESPECIAIS DE SERVIDOR PÚBLICO | PROFESSOR,1991-07-05T00:00:00Z,2000-04-26T00:00:00Z,ADI ,546,Alceu Collares
ADI 578,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1523918,MIN. MAURÍCIO CORRÊA,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO,1991-09-11T00:00:00Z,2001-05-30T00:00:00Z,ADI ,578,Alceu Collares
ADI 602,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1525137,MIN. EROS GRAU,PODER EXECUTIVO,PODER EXECUTIVO | COMPETÊNCIA | INICIATIVA DE LEI - SERVIDOR PÚBLICO - VENCIMENTOS,1991-10-10T00:00:00Z,NA,ADI ,602,Alceu Collares
ADI 603,https://portal.stf.jus.br/processos/detalhe.asp?incidente=1525128,MIN. EROS GRAU,PROCESSO LEGISLATIVO,PROCESSO LEGISLATIVO | INICIATIVA DE LEI | MINISTÉRIO PÚBLICO - VENCIMENTOS - REVISÃO - LEI 9.300/91 - RS,1991-10-10T00:00:00Z,2006-10-27T16:48:48Z,ADI ,603,Alceu Collares
